Date;Type;Sent Amount;Sent Currency;Received Amount;Received Currency;Fee Amount;Fee Currency
2023-01-10;Buy;2.0;EUR;2.14226979;USDT;0.0;
2023-01-11;Buy;999.0;EUR;1073.41159472;USDT;0.0;
2023-01-12;Sell;16.39404246;USDT;15.11000007;EUR;0.0;
2023-01-12;Sell;1.01766362;USDT;0.93;EUR;0.0;
2023-01-13;Sell;4.09480795;USDT;3.74000001;EUR;0.0;
2023-01-13;Buy;362.97;EUR;388.86645742;BUSD;7.03;EUR
2023-01-16;Sell;500.0;USDT;461.63296419;EUR;0.0;
2023-01-18;Buy;7199.00296419;EUR;7779.16137266;USDT;0.0;
2023-01-25;Sell;65.61793336;USDT;59.62999969;EUR;0.0;
2023-01-26;Sell;387.973893;USDT;353.37999908;EUR;0.0;
2023-01-26;Sell;316.78149938;USDT;289.11999947;EUR;0.0;
2023-02-01;Sell;25.67977287;USDT;23.38999997;EUR;0.0;
2023-02-01;Sell;224.32022713;USDT;205.47451025;EUR;0.0;
2023-02-01;Sell;32.96197676;USDT;29.75999991;EUR;0.0;
2023-02-08;Sell;22.9478469;USDT;21.18000008;EUR;0.0;
2023-02-08;Sell;74.58971689;USDT;68.85000013;EUR;0.0;
2023-02-08;Sell;2.27909793;USDT;2.10000001;EUR;0.0;
2023-02-08;Sell;4.11322914;USDT;3.78999999;EUR;0.0;
2023-02-08;Sell;100.0;USDT;93.08323962;EUR;0.0;
2023-02-08;Sell;27.48788845;USDT;25.41999989;EUR;0.0;
2023-02-12;Sell;18.5711189;USDT;17.23999997;EUR;0.0;
2023-02-19;Sell;10.66545332;USDT;9.90000003;EUR;0.0;
2023-02-24;Sell;24.85511693;USDT;23.25000007;EUR;0.0;
2023-03-01;Sell;94.76592234;USDT;88.99000002;EUR;0.0;
2023-03-08;Buy;10.0;EUR;0.00047772;BTC;0.0;
2023-03-13;Buy;8539.55774987;EUR;9105.97139009;USDT;0.0;
2023-03-14;Sell;18.73037965;USDT;17.28000001;EUR;0.0;
2023-03-23;Sell;1300.0;USDT;1201.6853802;EUR;0.0;
2023-04-04;Sell;1000.0;USDT;919.18936433;EUR;0.0;
2023-04-13;Sell;18.69437683;USDT;16.86000008;EUR;0.0;
2023-04-16;Sell;100.10496806;USDT;90.47999951;EUR;0.0;
2023-05-12;Sell;18.46361202;USDT;16.86999994;EUR;0.0;
2023-05-14;Sell;0.09810239;USDT;0.09;EUR;0.0;
2023-05-18;Sell;0.67119349;USDT;0.615817;EUR;0.0;
2023-06-13;Sell;18.59837023;USDT;17.14000004;EUR;0.0;
2023-06-20;Sell;13.20614437;USDT;11.99000004;EUR;0.0;
2023-06-22;Buy;2249.00474453;EUR;2453.55458595;USDT;0.0;
2023-06-27;Sell;155.02845985;USDT;137.86999983;EUR;0.0;
2023-06-27;Sell;48.11112891;USDT;42.79000004;EUR;0.0;
2023-07-05;Sell;200.0;USDT;184.19280059;EUR;0.0;
2023-07-14;Sell;19.44456986;USDT;16.85999997;EUR;0.0;
2023-07-18;Sell;12.61132678;USDT;10.91743869;EUR;0.0;
2023-08-03;Sell;500.0;USDT;457.22399933;EUR;0.0;
2023-08-03;Sell;56.44843279;USDT;50.20999981;EUR;0.0;
2023-08-03;Sell;20.78731491;USDT;18.49000002;EUR;0.0;
2023-08-06;Sell;472.7642523;USDT;434.10257672;EUR;0.0;
2023-08-13;Sell;19.23167801;USDT;17.13999994;EUR;0.0;
2023-08-18;Sell;0.00286703;BNB;0.5688748;EUR;0.0;
2023-08-18;Sell;10.76832199;USDT;9.82170637;EUR;0.0;
2023-08-18;Sell;1.02619708;BUSD;0.93616305;EUR;0.0;
2023-09-08;Sell;3.30074168;USDT;3.00000002;EUR;0.0;
2023-09-08;Sell;3.31174497;USDT;3.01;EUR;0.0;
2023-09-14;Sell;19.24012704;USDT;17.50999998;EUR;0.0;
2023-09-18;Sell;13.16232531;USDT;11.99000004;EUR;0.0;
2023-10-18;Sell;13.02400713;USDT;11.98999995;EUR;0.0;
2023-10-28;Sell;1571.3604695;USDT;1445.51000522;EUR;0.0;
2023-11-09;Sell;278.83235677;USDT;253.95000135;EUR;0.0;
2023-11-16;Buy;6.19550;EUR;0.00340698;ETH;0.0;
2023-11-18;Sell;13.43906443;USDT;11.99;EUR;0.0;
2023-11-22;Sell;899.91484383;USDT;801.55000279;EUR;0.0;
2023-11-22;Sell;200.0;USDT;183.54250945;EUR;0.0;
2023-11-25;Sell;200.0;USDT;180.9966358;EUR;0.0;
2023-11-28;Sell;200.0;USDT;182.10510157;EUR;0.0;
2023-12-03;Sell;32.97147054;USDT;29.39999986;EUR;0.0;
2023-12-03;Sell;291.4428488;USDT;267.97771439;EUR;0.0;
2023-12-05;Sell;100.0;USDT;92.81054521;EUR;0.0;
2023-12-05;Sell;100.0;USDT;92.81044365;EUR;0.0;
2023-12-07;Sell;320.40211103;USDT;287.92000134;EUR;0.0;
2023-12-27;Sell;400.0;USDT;362.36168403;EUR;0.0;
2023-01-20;Buy;901.12;EUR;0;USDT;0;
2023-10-02;Sell;0;USDT;93.46;EUR;0;
2023-10-03;Sell;0;USDT;1331.49;EUR;0;
2023-10-23;Sell;0;USDT;2507.68;EUR;0;
2023-10-27;Sell;0;USDT;932.07;EUR;0;
2023-12-08;Sell;0;USDT;457.89;EUR;0;
